transaction_id,store_id,product_id,customer_id,quantity,total_amount,transaction_date
1,4,35,42,1,468.79,2024-12-03
2,5,6,104,2,979.52,2023-06-20
3,3,34,119,3,241.62,2023-09-29
4,6,47,17,2,429.52,2024-12-28
5,3,13,169,3,337.92,2023-06-14
6,3,4,159,4,1437.84,2024-01-12
7,3,20,87,5,1473.45,2023-10-07
8,8,4,129,2,718.92,2024-08-14
9,4,13,28,2,225.28,2023-04-27
10,4,28,185,3,428.97,2024-09-28
11,4,48,15,4,1514.64,2024-10-24
12,1,2,152,1,332.25,2024-08-10
13,4,41,46,3,1079.58,2023-08-13
14,8,49,107,2,316.44,2024-09-18
15,9,33,44,2,815.22,2023-09-08
16,2,34,120,3,241.62,2023-06-30
17,8,39,173,1,271.84,2024-11-30
18,10,36,62,2,820.64,2024-10-08
19,3,12,32,4,1108.28,2024-01-28
20,9,50,173,5,2492.4,2023-02-16
21,6,7,131,3,1102.14,2024-01-12
22,3,5,82,5,569.0,2023-01-30
23,4,30,70,5,2029.3,2023-11-17
24,2,49,199,1,158.22,2024-01-24
25,8,35,87,4,1875.16,2024-11-02
26,10,3,49,2,617.58,2024-08-24
27,1,3,198,4,1235.16,2023-10-09
28,2,46,18,2,939.92,2023-04-11
29,2,36,25,1,410.32,2024-08-03
30,2,5,185,4,455.2,2024-04-21
31,4,7,93,2,734.76,2023-10-09
32,6,25,79,5,1444.5,2024-09-12
33,7,14,170,5,1071.2,2023-04-23
34,1,40,183,5,1739.05,2024-10-31
35,10,37,133,3,387.99,2024-02-26
36,10,38,34,3,666.87,2024-03-13
37,7,34,104,1,80.54,2023-07-02
38,8,15,22,5,1183.85,2024-06-10
39,10,33,171,2,815.22,2024-10-08
40,1,24,198,2,246.02,2023-07-24
41,10,13,158,1,112.64,2023-09-20
42,8,21,45,2,924.38,2024-05-22
43,10,21,78,2,924.38,2024-08-05
44,2,17,81,5,978.4,2024-04-25
45,3,21,2,5,2310.95,2024-02-17
46,2,28,152,1,142.99,2024-05-10
47,10,40,61,1,347.81,2024-10-08
48,9,15,75,2,473.54,2024-08-03
49,4,34,55,3,241.62,2024-10-05
50,3,15,100,1,236.77,2023-10-27
51,5,42,105,3,750.45,2024-07-06
52,10,29,184,4,1456.24,2024-09-02
53,4,28,27,5,714.95,2023-12-23
54,10,6,23,2,979.52,2024-05-08
55,1,5,56,5,569.0,2023-03-24
56,10,49,96,1,158.22,2024-05-27
57,3,22,66,4,501.8,2024-07-31
58,8,14,140,2,428.48,2023-10-26
59,3,18,41,3,939.99,2024-02-13
60,9,34,105,2,161.08,2023-08-02
61,6,12,37,1,277.07,2023-01-25
62,10,42,118,2,500.3,2023-09-25
63,2,24,155,4,492.04,2023-09-17
64,7,25,146,2,577.8,2024-01-15
65,6,23,49,3,1131.12,2023-01-15
66,4,29,127,3,1092.18,2024-09-30
67,10,40,84,5,1739.05,2024-12-25
68,10,16,73,3,1368.09,2023-02-04
69,2,8,130,4,56.32,2024-12-06
70,7,30,115,3,1217.58,2024-07-23
71,3,47,22,2,429.52,2024-05-15
72,3,29,132,3,1092.18,2023-07-26
73,8,6,99,1,489.76,2023-08-18
74,9,3,53,4,1235.16,2024-01-05
75,3,15,189,5,1183.85,2023-10-11
76,7,19,100,1,117.85,2024-02-15
77,6,6,33,1,489.76,2024-07-13
78,2,32,136,3,415.74,2023-05-06
79,7,41,88,5,1799.3,2024-09-03
80,10,23,174,5,1885.2,2024-04-11
81,9,7,195,5,1836.9,2024-04-03
82,7,22,138,1,125.45,2024-04-18
83,10,13,90,5,563.2,2023-07-05
84,8,48,65,2,757.32,2023-06-27
85,7,36,50,3,1230.96,2023-11-03
86,10,49,118,4,632.88,2023-04-01
87,3,35,11,3,1406.37,2023-05-15
88,9,16,86,4,1824.12,2024-12-17
89,2,44,39,3,1426.44,2023-12-23
90,1,19,121,4,471.4,2024-06-11
91,4,31,118,3,716.46,2024-09-26
92,10,41,99,4,1439.44,2024-07-11
93,10,28,124,5,714.95,2024-09-27
94,6,21,6,5,2310.95,2024-10-14
95,3,32,20,1,138.58,2024-07-14
96,6,36,79,3,1230.96,2024-03-31
97,2,33,68,3,1222.83,2024-04-22
98,1,4,109,1,359.46,2024-09-21
99,4,25,96,3,866.7,2023-08-04
100,6,26,52,2,729.28,2024-11-06
101,7,4,22,2,718.92,2023-05-04
102,10,16,69,3,1368.09,2023-12-25
103,4,2,50,2,664.5,2024-09-09
104,4,9,51,1,45.54,2024-07-03
105,4,14,126,3,642.72,2023-12-26
106,2,34,141,2,161.08,2023-08-07
107,3,50,187,5,2492.4,2023-03-20
108,7,31,114,5,1194.1,2024-03-21
109,6,48,12,4,1514.64,2023-10-06
110,2,35,78,3,1406.37,2023-08-05
111,9,36,195,3,1230.96,2024-04-16
112,6,32,146,5,692.9,2024-09-16
113,5,6,41,4,1959.04,2024-02-26
114,2,19,159,1,117.85,2023-08-11
115,1,2,102,1,332.25,2024-07-05
116,8,42,148,3,750.45,2023-11-06
117,2,40,137,2,695.62,2024-06-21
118,1,36,72,4,1641.28,2024-09-17
119,2,11,140,5,225.5,2024-05-13
120,3,25,41,3,866.7,2023-12-14
121,7,17,131,5,978.4,2024-07-10
122,5,28,48,3,428.97,2023-07-28
123,1,32,61,5,692.9,2024-02-21
124,1,13,78,3,337.92,2023-02-26
125,2,29,191,2,728.12,2024-12-22
126,7,35,199,5,2343.95,2024-04-08
127,7,28,161,2,285.98,2024-03-10
128,8,45,164,1,114.78,2023-02-20
129,8,31,61,1,238.82,2023-01-04
130,1,34,51,3,241.62,2024-08-09
131,6,36,50,3,1230.96,2023-08-31
132,4,2,61,2,664.5,2024-02-17
133,1,43,199,1,265.36,2024-11-20
134,9,43,122,1,265.36,2023-04-04
135,3,12,181,1,277.07,2024-03-13
136,9,30,12,2,811.72,2023-12-04
137,1,47,194,2,429.52,2024-11-17
138,9,10,22,4,166.0,2023-09-23
139,3,1,113,2,332.7,2024-11-23
140,6,31,167,5,1194.1,2024-10-21
141,9,10,59,2,83.0,2024-05-01
142,8,4,37,3,1078.38,2024-06-28
143,10,9,195,1,45.54,2024-07-30
144,10,41,127,5,1799.3,2024-03-06
145,5,40,92,3,1043.43,2024-05-29
146,4,10,88,2,83.0,2023-03-11
147,7,12,151,1,277.07,2023-07-23
148,2,30,47,2,811.72,2024-02-11
149,9,6,152,4,1959.04,2024-12-25
150,6,20,78,2,589.38,2024-05-08
151,3,9,168,2,91.08,2023-03-24
152,8,36,145,2,820.64,2024-05-10
153,7,44,197,2,950.96,2023-06-04
154,6,24,110,1,123.01,2023-05-10
155,4,50,93,4,1993.92,2024-09-17
156,9,3,162,3,926.37,2023-01-29
157,5,47,185,5,1073.8,2024-05-13
158,8,13,54,5,563.2,2023-02-06
159,2,25,63,5,1444.5,2023-04-12
160,6,50,199,1,498.48,2024-07-09
161,10,37,61,1,129.33,2024-08-06
162,8,13,13,3,337.92,2024-10-31
163,4,36,179,2,820.64,2023-12-22
164,8,5,19,1,113.8,2024-06-30
165,7,13,130,3,337.92,2024-10-11
166,8,10,54,4,166.0,2024-04-25
167,8,16,76,4,1824.12,2023-02-12
168,8,45,29,5,573.9,2024-08-12
169,4,11,29,4,180.4,2024-01-22
170,10,15,122,1,236.77,2023-09-11
171,8,14,190,5,1071.2,2023-03-22
172,1,45,187,1,114.78,2023-10-12
173,4,4,118,3,1078.38,2024-02-20
174,5,35,143,2,937.58,2023-02-05
175,9,18,193,1,313.33,2024-01-09
176,7,45,74,2,229.56,2024-05-30
177,7,5,22,2,227.6,2023-06-14
178,10,22,11,2,250.9,2023-03-26
179,10,46,200,5,2349.8,2024-04-20
180,8,12,59,4,1108.28,2024-05-28
181,5,8,5,3,42.24,2023-08-26
182,2,46,165,1,469.96,2024-01-08
183,6,38,153,2,444.58,2023-03-28
184,4,41,56,2,719.72,2023-01-26
185,7,24,198,2,246.02,2023-05-05
186,3,31,140,5,1194.1,2023-10-11
187,8,35,152,5,2343.95,2024-10-31
188,2,13,27,3,337.92,2024-03-18
189,5,1,174,4,665.4,2024-07-28
190,1,16,94,5,2280.15,2024-12-21
191,5,11,161,5,225.5,2024-04-29
192,9,39,102,5,1359.2,2023-10-10
193,5,40,138,3,1043.43,2023-01-01
194,8,37,176,5,646.65,2023-05-14
195,10,44,47,2,950.96,2024-02-12
196,3,4,142,5,1797.3,2023-11-22
197,1,26,122,5,1823.2,2024-01-24
198,4,28,195,2,285.98,2024-02-05
199,8,2,167,2,664.5,2023-12-21
200,5,17,22,5,978.4,2023-09-28
201,2,37,47,1,129.33,2023-01-26
202,5,45,17,1,114.78,2023-11-10
203,4,1,132,4,665.4,2023-05-03
204,9,6,65,2,979.52,2024-02-01
205,7,23,26,5,1885.2,2023-10-24
206,8,49,189,1,158.22,2023-11-23
207,3,2,21,3,996.75,2023-12-20
208,9,19,86,3,353.55,2024-03-04
209,6,47,148,4,859.04,2024-01-15
210,3,34,163,5,402.7,2024-05-22
211,10,28,70,3,428.97,2023-06-06
212,5,1,58,2,332.7,2023-01-20
213,10,39,48,2,543.68,2024-09-15
214,1,1,145,1,166.35,2023-12-28
215,3,17,23,1,195.68,2023-06-17
216,10,42,87,3,750.45,2024-02-18
217,7,49,166,4,632.88,2023-09-14
218,7,34,83,2,161.08,2024-07-11
219,4,21,1,1,462.19,2023-11-28
220,4,15,91,2,473.54,2023-03-04
221,8,49,6,5,791.1,2024-10-29
222,8,27,89,4,920.44,2024-06-06
223,2,1,125,4,665.4,2024-02-19
224,2,1,85,3,499.05,2024-06-14
225,1,6,74,5,2448.8,2023-04-07
226,5,4,83,2,718.92,2023-05-16
227,1,42,146,4,1000.6,2024-02-25
228,8,4,77,3,1078.38,2024-01-31
229,9,48,178,1,378.66,2023-08-22
230,1,4,155,1,359.46,2024-05-25
231,4,14,135,5,1071.2,2023-10-12
232,10,26,181,4,1458.56,2023-03-09
233,1,19,169,2,235.7,2023-06-02
234,1,1,7,2,332.7,2023-11-16
235,10,33,190,5,2038.05,2024-06-23
236,6,35,104,2,937.58,2023-07-23
237,7,11,68,1,45.1,2024-10-20
238,8,27,48,4,920.44,2024-06-23
239,1,31,100,5,1194.1,2024-05-09
240,3,20,193,3,884.07,2024-12-24
241,6,5,32,2,227.6,2023-06-06
242,6,32,56,1,138.58,2023-04-15
243,2,11,41,5,225.5,2023-02-08
244,9,35,185,1,468.79,2023-01-26
245,2,25,140,2,577.8,2024-10-13
246,2,17,99,5,978.4,2023-05-20
247,1,15,197,4,947.08,2023-03-23
248,2,35,127,2,937.58,2024-03-14
249,8,36,184,1,410.32,2023-09-03
250,9,30,105,1,405.86,2024-10-19
251,8,19,97,4,471.4,2023-01-20
252,6,25,93,3,866.7,2023-09-17
253,4,46,140,2,939.92,2023-08-06
254,3,14,11,5,1071.2,2024-12-23
255,4,23,48,1,377.04,2023-09-04
256,6,7,54,2,734.76,2024-11-20
257,1,46,44,1,469.96,2023-11-27
258,1,37,29,3,387.99,2023-11-15
259,3,27,47,2,460.22,2023-10-26
260,4,6,51,5,2448.8,2023-01-04
261,4,48,36,5,1893.3,2024-12-03
262,8,3,25,2,617.58,2023-08-09
263,7,21,42,1,462.19,2024-09-08
264,3,48,21,2,757.32,2024-06-04
265,1,36,71,4,1641.28,2023-01-22
266,3,38,148,1,222.29,2024-02-02
267,6,35,87,2,937.58,2023-06-21
268,3,29,145,3,1092.18,2024-03-09
269,10,36,111,1,410.32,2024-11-21
270,3,15,64,1,236.77,2024-12-09
271,6,21,149,2,924.38,2023-01-25
272,7,2,92,4,1329.0,2024-06-20
273,5,7,114,3,1102.14,2023-02-14
274,8,1,92,1,166.35,2024-10-12
275,8,39,34,4,1087.36,2024-04-08
276,7,9,138,1,45.54,2023-01-01
277,4,42,15,5,1250.75,2024-02-21
278,4,5,26,4,455.2,2024-02-18
279,2,48,168,5,1893.3,2023-04-17
280,2,32,122,4,554.32,2023-01-24
281,7,26,12,5,1823.2,2024-06-29
282,3,46,195,5,2349.8,2024-09-30
283,5,15,107,5,1183.85,2024-03-16
284,7,7,33,5,1836.9,2023-04-19
285,8,8,131,2,28.16,2024-10-11
286,8,32,150,5,692.9,2024-03-02
287,7,31,4,4,955.28,2024-12-17
288,8,3,70,2,617.58,2024-01-24
289,1,21,50,2,924.38,2023-07-14
290,4,30,196,4,1623.44,2024-09-17
291,2,47,131,1,214.76,2023-12-09
292,1,50,114,5,2492.4,2023-02-09
293,2,47,164,4,859.04,2024-07-18
294,5,21,101,1,462.19,2024-07-20
295,8,41,18,3,1079.58,2024-09-08
296,6,8,106,2,28.16,2023-12-26
297,8,24,159,3,369.03,2024-11-29
298,7,2,75,5,1661.25,2024-05-19
299,10,30,170,5,2029.3,2024-07-20
300,6,34,128,2,161.08,2024-08-07
301,5,22,48,4,501.8,2024-02-15
302,6,4,171,3,1078.38,2024-07-28
303,4,2,186,3,996.75,2024-09-11
304,10,36,87,2,820.64,2024-06-25
305,6,10,35,3,124.5,2023-08-01
306,4,43,47,1,265.36,2024-03-20
307,7,37,80,3,387.99,2024-08-31
308,6,15,194,3,710.31,2023-02-17
309,3,25,135,3,866.7,2023-06-10
310,2,1,55,5,831.75,2023-09-24
311,3,23,99,1,377.04,2024-01-10
312,10,26,44,3,1093.92,2024-08-07
313,6,47,138,4,859.04,2024-06-18
314,4,27,131,2,460.22,2024-02-03
315,1,31,35,5,1194.1,2023-02-12
316,1,40,100,4,1391.24,2023-04-03
317,4,47,52,1,214.76,2024-08-08
318,8,7,109,3,1102.14,2024-07-23
319,10,22,11,1,125.45,2023-08-23
320,6,15,24,4,947.08,2023-04-15
321,8,23,126,2,754.08,2023-06-05
322,5,39,105,2,543.68,2023-12-10
323,10,6,153,2,979.52,2023-06-10
324,2,48,163,3,1135.98,2024-01-05
325,9,8,26,4,56.32,2023-02-17
326,6,37,21,5,646.65,2024-03-15
327,4,25,101,5,1444.5,2023-04-22
328,5,7,30,1,367.38,2024-05-13
329,7,13,91,1,112.64,2023-10-25
330,9,8,8,1,14.08,2024-10-01
331,3,11,183,1,45.1,2023-09-29
332,3,47,131,1,214.76,2023-09-16
333,5,29,38,3,1092.18,2023-03-10
334,8,24,23,4,492.04,2024-02-07
335,6,7,168,5,1836.9,2024-08-31
336,8,27,138,2,460.22,2023-12-11
337,1,38,72,4,889.16,2023-04-18
338,2,29,36,3,1092.18,2024-10-15
339,3,41,166,2,719.72,2023-12-13
340,5,44,6,3,1426.44,2023-09-19
341,2,40,151,5,1739.05,2023-06-10
342,8,23,33,2,754.08,2024-10-09
343,5,47,88,5,1073.8,2023-09-03
344,6,35,3,2,937.58,2024-02-16
345,5,10,107,4,166.0,2024-08-02
346,4,43,44,2,530.72,2024-07-04
347,4,49,75,2,316.44,2024-04-29
348,1,50,165,2,996.96,2023-07-13
349,2,10,136,1,41.5,2024-12-18
350,7,22,1,1,125.45,2023-11-15
351,10,46,190,2,939.92,2024-08-03
352,2,26,106,3,1093.92,2023-06-20
353,7,12,163,3,831.21,2023-12-01
354,2,30,150,1,405.86,2023-06-23
355,9,12,6,4,1108.28,2024-06-18
356,5,43,9,1,265.36,2023-06-03
357,4,1,16,2,332.7,2023-07-23
358,3,40,189,1,347.81,2024-12-23
